H00317,NA,,,,,
H00318,Hypericum perforatum,,,,,
H00319,Rhizoma Dryopteris crassirhizomae,,,,,
H00320,Glycyrrhiza glabra,,,,,
H00322,NA,,,,,
H00323,Rubia wallichiana,,,,,
H00324,Rauwolfia nitida,,,,,
H00325,Fructus Choerospondiatis,,,,,
H00326,Plastrum Testudinis,,,,,
H00327,Colla carapacis et plastri testudinis,,,,,
H00328,Caragana jubata,,,,,
H00329,Ramulus Euonymi,,,,,
H00330,Ramulus Euonymi,,,,,
H00331,Dysosma versipellis [Syn. Podophyllum versipelle ],,,,,
H00332,NA,,,,,
H00333,Herba Bidentis,,,,,
H00334,Ramulus Cinmomi,,,,,
H00335,Morinda citrifolia,,,,,
H00336,Acacia catechu,,,,,
H00338,Concha Cyclinae,,,,,
H00339,Adenanthera pavonina,,,,,
H00340,Spora Lygodii,,,,,
H00341,Cortex erythrie,,,,,
H00342,Sargassum,,,,,
H00343,Herba Ecliptae Prostratae,,,,,
H00344,Apium graveolens,,,,,
H00345,Apium graveolens var. dulce,,,,,
H00346,Radix Notoginseng,,,,,
H00347,Calcitum,,,,,
H00348,Scutellaria indica,,,,,
H00349,Mimosa pudica,,,,,
H00350,Angelica taiwaniana,,,,,
H00351,Flos Chrysanthemi,,,,,
H00352,Fructus Carpesii,,,,,
H00353,Polygonum multiflorum,,,,,
H00354,Semen Juglandis,,,,,
H00355,Folium Nelumbinis,,,,,
H00356,Fructus Chebulae,,,,,
H00357,Glycine max,,,,,
H00358,Semen Glycine Max,,,,,
H00360,Tripterygium regelii,,,,,
H00361,Valeriana amurensis,,,,,
H00363,Scurrura atropurpurea,,,,,
H00366,Trifolium pratense,,,,,
H00367,Capsicum annuum,,,,,
H00368,NA,,,,,
H00369,Flos Carthami,,,,,
H00370,Gentiana rhodantha,,,,,
H00371,Meconopsis punicea,,,,,
H00372,Radix et Rhizoma Rhodiolae,,,,,
H00373,Chamaenerion angustifolium [Syn. Epilobium angustifolium ],,,,,
H00374,Herba Lagotidis,,,,,
